season,team,total_runs,total_balls,avg_strike_rate,home_matches,home_wins,home_win_rate,toss_win_rate,bat_first_decision_rate,late_season_match_pct
2014.0,SRH,1943.0,1587.0,118.86377551020408,7.0,2.0,0.2857142857142857,0.5,0.5714285714285714,0.6428571428571429
2015.0,CSK,2564.0,2005.0,114.17151515151515,10.0,7.0,0.7,0.5882352941176471,0.7,0.5294117647058824
2015.0,DC,2061.0,1615.0,109.9645,7.0,3.0,0.42857142857142855,0.35714285714285715,0.4,0.5
2015.0,KKR,1939.0,1419.0,124.08267326732674,7.0,5.0,0.7142857142857143,0.5714285714285714,0.125,0.42857142857142855
2015.0,KXIP,1889.0,1582.0,103.2508064516129,7.0,1.0,0.14285714285714285,0.5,0.42857142857142855,0.5
2015.0,MI,2611.0,1885.0,123.84061403508773,7.0,4.0,0.5714285714285714,0.4375,0.7142857142857143,0.5625
2015.0,RCB,2190.0,1518.0,128.69242718446603,7.0,3.0,0.42857142857142855,0.625,0.2,0.5625
2015.0,RR,2038.0,1548.0,117.52901960784313,8.0,4.0,0.5,0.4,0.16666666666666666,0.4
2015.0,SRH,2117.0,1619.0,118.15371428571429,7.0,3.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5
2016.0,DC,1995.0,1596.0,106.53980198019802,7.0,4.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714
2016.0,GL,2318.0,1826.0,107.6740157480315,8.0,4.0,0.5,0.5,0.0,0.5625
2016.0,KKR,2133.0,1634.0,124.87623762376238,8.0,4.0,0.5,0.4,0.0,0.5333333333333333
2016.0,KXIP,2051.0,1618.0,106.06895652173914,7.0,2.0,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.5714285714285714
2016.0,MI,2091.0,1620.0,110.49177570093458,7.0,3.0,0.42857142857142855,0.6428571428571429,0.2222222222222222,0.42857142857142855
2016.0,RCB,2863.0,1868.0,129.15541666666667,9.0,5.0,0.5555555555555556,0.375,0.16666666666666666,0.625
2016.0,RPS,1962.0,1528.0,113.70021978021977,7.0,2.0,0.2857142857142857,0.5,0.42857142857142855,0.5
2016.0,SRH,2549.0,1977.0,112.1348031496063,7.0,4.0,0.5714285714285714,0.5882352941176471,0.3,0.5882352941176471
2017.0,DC,2131.0,1607.0,110.3420168067227,7.0,4.0,0.5714285714285714,0.5714285714285714,0.375,0.42857142857142855
2017.0,GL,2309.0,1622.0,116.75882882882883,7.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.35714285714285715
2017.0,KKR,2354.0,1711.0,116.59982608695651,7.0,4.0,0.5714285714285714,0.5625,0.0,0.375
2017.0,KXIP,2099.0,1550.0,113.05864077669904,7.0,4.0,0.5714285714285714,0.2857142857142857,0.0,0.35714285714285715
2017.0,MI,2622.0,1962.0,118.91814814814815,10.0,7.0,0.7,0.6470588235294118,0.18181818181818182,0.47058823529411764
2017.0,RCB,1760.0,1494.0,96.042,7.0,1.0,0.14285714285714285,0.6428571428571429,0.4444444444444444,0.2857142857142857
2017.0,RPS,2370.0,1844.0,111.89236842105262,7.0,5.0,0.7142857142857143,0.375,0.0,0.4375
2017.0,SRH,2262.0,1638.0,131.07941860465115,8.0,6.0,0.75,0.3333333333333333,0.2,0.3333333333333333
2018.0,CSK,2698.0,1887.0,123.27528301886792,8.0,7.0,0.875,0.6875,0.09090909090909091,0.5
2018.0,DC,2250.0,1548.0,120.47755319148935,7.0,4.0,0.5714285714285714,0.5714285714285714,0.375,0.42857142857142855
